nasabah_id,nama_lengkap,nik,no_hp,email,tanggal_lahir,jenis_kelamin,segmen_nasabah,cabang_id,tanggal_buka_rekening,status_aktif,pekerjaan,penghasilan_bulanan
NSB0000030,Putri Santoso,2114042901847614,085391917334,putri.santoso_30@email.com,1984-01-29,Perempuan,Priority,CAB0046,2020-02-10,Aktif,Petani,20000000
NSB0000031,Yanti Kusuma,3204052404769107,081279340535,yanti.kusuma_31@email.com,1976-04-24,Laki-laki,Priority,CAB0012,2016-04-09,Aktif,Mahasiswa,50000000
NSB0000032,Hendra Simbolon,1612022210094821,085864277800,hendra.simbolon_32@email.com,2009-10-22,Laki-laki,SME,CAB0042,2010-05-22,Tidak Aktif,Pensiunan,50000000
NSB0000033,Dian Aritonang,3406082708094439,087843742830,dian.aritonang_33@email.com,2009-08-27,Laki-laki,Priority,CAB0018,2017-11-22,Aktif,Pensiunan,5000000
NSB0000034,Nuri Lubis,1204092801089778,087823492385,nuri.lubis_34@email.com,2008-01-28,Laki-laki,Priority,CAB0040,2023-03-23,Aktif,Pensiunan,7500000
NSB0000035,Linda Wibowo,0112011202879067,087826948946,linda.wibowo_35@email.com,1987-02-12,Perempuan,Priority,CAB0016,2011-01-08,Aktif,TNI/Polri,15000000
NSB0000036,Wahyu Kurniawan,3108081002021870,081363782042,wahyu.kurniawan_36@email.com,2002-02-10,Perempuan,Retail,CAB0011,2015-08-31,Tidak Aktif,PNS,7500000
NSB0000037,Putri Putra,2002042005738562,082170467027,putri.putra_37@email.com,1973-05-20,Perempuan,Corporate,CAB0041,2019-05-03,Tidak Aktif,Mahasiswa,15000000
NSB0000038,Candra Rahayu,0410040501114336,081331079846,candra.rahayu_38@email.com,2011-01-05,Laki-laki,Retail,CAB0025,2024-01-12,Aktif,Karyawan Swasta,7500000
NSB0000039,Yusuf Simanjuntak,2708012803603793,087847945817,yusuf.simanjuntak_39@email.com,1960-03-28,Perempuan,SME,CAB0011,2016-07-13,Aktif,Ibu Rumah Tangga,100000000
NSB0000040,Linda Utami,2802033009771170,081232269779,linda.utami_40@email.com,1977-09-30,Perempuan,Retail,CAB0039,2015-12-17,Aktif,Karyawan Swasta,50000000
NSB0000041,Joni Tampubolon,2605021304879799,081267985905,joni.tampubolon_41@email.com,1987-04-13,Perempuan,SME,CAB0035,2019-10-27,Aktif,Karyawan Swasta,10000000
NSB0000042,Wawan Hartono,0213030908117709,085297444123,wawan.hartono_42@email.com,2011-08-09,Perempuan,Private Banking,CAB0038,2010-11-26,Aktif,TNI/Polri,30000000
NSB0000043,Yanti Sirait,0608021102042635,087765250068,yanti.sirait_43@email.com,2004-02-11,Perempuan,Priority,CAB0039,2017-03-15,Aktif,Nelayan,3000000
NSB0000044,Rahmat Susanto,0606092010000019,085272005415,rahmat.susanto_44@email.com,2000-10-20,Perempuan,Retail,CAB0008,2019-01-25,Aktif,Nelayan,20000000
NSB0000045,Dewi Lestari,2913032009044720,082275056916,dewi.lestari_45@email.com,2004-09-20,Laki-laki,Priority,CAB0004,2022-04-27,Tidak Aktif,Profesional,7500000
NSB0000046,Citra Santoso,0109081711871925,085776890827,citra.santoso_46@email.com,1987-11-17,Perempuan,Retail,CAB0037,2012-07-18,Aktif,Petani,50000000
NSB0000047,Joko Nasution,3009091211812237,081347077298,joko.nasution_47@email.com,1981-11-12,Perempuan,Retail,CAB0046,2023-06-12,Aktif,Ibu Rumah Tangga,3000000
NSB0000048,Oki Purba,2014081705858825,082256321751,oki.purba_48@email.com,1985-05-17,Perempuan,SME,CAB0051,2013-05-02,Aktif,Pensiunan,10000000
NSB0000049,Erna Sirait,2504080406816247,082199078806,erna.sirait_49@email.com,1981-06-04,Laki-laki,Retail,CAB0066,2017-02-19,Aktif,Wiraswasta,75000000
NSB0000050,Gita Situmorang,2214081212120252,085765026398,gita.situmorang_50@email.com,2012-12-12,Laki-laki,Retail,CAB0011,2021-10-18,Aktif,Ibu Rumah Tangga,20000000
NSB0000051,Wahyu Tampubolon,0614082908958865,081292874006,wahyu.tampubolon_51@email.com,1995-08-29,Laki-laki,SME,CAB0033,2017-02-07,Aktif,Profesional,5000000
NSB0000052,Surya Rahayu,0713050712980475,081253536830,surya.rahayu_52@email.com,1998-12-07,Laki-laki,SME,CAB0040,2013-09-24,Aktif,Pensiunan,30000000
NSB0000053,Citra Pasaribu,1609032201731294,085361344226,citra.pasaribu_53@email.com,1973-01-22,Laki-laki,Retail,CAB0066,2013-10-24,Tidak Aktif,Wiraswasta,10000000
NSB0000054,Rahmat Pratama,1708091505012589,081369287967,rahmat.pratama_54@email.com,2001-05-15,Perempuan,SME,CAB0041,2016-06-14,Aktif,Ibu Rumah Tangga,50000000
NSB0000055,Hendra Rahayu,1307060702879418,087849625201,hendra.rahayu_55@email.com,1987-02-07,Laki-laki,Retail,CAB0053,2018-07-22,Aktif,PNS,100000000
NSB0000056,Tari Utami,3214042605643116,085343638559,tari.utami_56@email.com,1964-05-26,Laki-laki,Private Banking,CAB0015,2017-11-26,Aktif,Ibu Rumah Tangga,50000000
NSB0000057,Indra Santoso,2412072912622878,085827738187,indra.santoso_57@email.com,1962-12-29,Perempuan,Priority,CAB0067,2017-04-30,Aktif,Wiraswasta,15000000
NSB0000058,Wahyu Putra,1912032503033697,082184801233,wahyu.putra_58@email.com,2003-03-25,Perempuan,SME,CAB0013,2011-09-09,Aktif,PNS,15000000
NSB0000059,Zahra Kusuma,0808062002081776,085873280554,zahra.kusuma_59@email.com,2008-02-20,Laki-laki,Private Banking,CAB0044,2018-07-19,Tidak Aktif,Profesional,5000000
NSB0000060,Citra Putra,2011012608014987,082225585427,citra.putra_60@email.com,2001-08-26,Laki-laki,Retail,CAB0033,2011-01-07,Aktif,Wiraswasta,30000000
NSB0000061,Candra Tampubolon,2411031109006798,081375679047,candra.tampubolon_61@email.com,2000-09-11,Perempuan,SME,CAB0038,2023-03-05,Aktif,Pensiunan,10000000
NSB0000062,Zahra Rahayu,2904061110990993,082147028180,zahra.rahayu_62@email.com,1999-10-11,Laki-laki,Priority,CAB0018,2022-03-19,Aktif,Karyawan Swasta,10000000
NSB0000063,Wahyu Purnama,0201042807131125,085237804191,wahyu.purnama_63@email.com,2013-07-28,Laki-laki,Retail,CAB0032,2022-08-31,Aktif,Wiraswasta,100000000
NSB0000064,Joko Wibowo,1814030204601802,081227690330,joko.wibowo_64@email.com,1960-04-02,Laki-laki,Corporate,CAB0048,2015-08-16,Aktif,TNI/Polri,20000000
NSB0000065,Dewi Wibowo,1205020106611042,082270166480,dewi.wibowo_65@email.com,1961-06-01,Perempuan,SME,CAB0016,2021-10-19,Aktif,Nelayan,10000000
NSB0000066,Galih Wijaya,3405072111636985,081375802771,galih.wijaya_66@email.com,1963-11-21,Perempuan,Retail,CAB0011,2020-09-28,Aktif,Pensiunan,100000000
NSB0000067,Siti Hutabarat,0503062204736241,085381210133,siti.hutabarat_67@email.com,1973-04-22,Perempuan,Private Banking,CAB0061,2022-04-20,Aktif,TNI/Polri,30000000
NSB0000068,Tri Aritonang,0814082311683744,082155490631,tri.aritonang_68@email.com,1968-11-23,Perempuan,Retail,CAB0054,2019-08-25,Aktif,Karyawan Swasta,20000000
NSB0000069,Rahmat Harahap,2111021504981495,081322513132,rahmat.harahap_69@email.com,1998-04-15,Perempuan,Retail,CAB0015,2020-08-21,Aktif,Wiraswasta,75000000
NSB0000070,Hadi Sirait,2211071905650843,087890585678,hadi.sirait_70@email.com,1965-05-19,Perempuan,Priority,CAB0048,2024-12-03,Aktif,TNI/Polri,75000000
NSB0000071,Hendra Utami,1011090102796023,081347388792,hendra.utami_71@email.com,1979-02-01,Laki-laki,Retail,CAB0057,2017-11-08,Aktif,TNI/Polri,100000000
NSB0000072,Utami Hartono,0210051212095063,087757113566,utami.hartono_72@email.com,2009-12-12,Laki-laki,Retail,CAB0026,2014-01-17,Aktif,TNI/Polri,30000000
NSB0000073,Surya Wijaya,1012043003666164,082170887307,surya.wijaya_73@email.com,1966-03-30,Perempuan,Retail,CAB0023,2021-11-24,Aktif,Ibu Rumah Tangga,20000000
NSB0000074,Dewi Handoko,0615010212101337,087869473616,dewi.handoko_74@email.com,2010-12-02,Perempuan,Retail,CAB0065,2023-11-10,Tidak Aktif,Petani,30000000
NSB0000075,Joni Putra,1413020407844641,085375314742,joni.putra_75@email.com,1984-07-04,Perempuan,Priority,CAB0007,2019-08-23,Aktif,Mahasiswa,100000000
NSB0000076,Umar Lestari,0104053011645376,081311037490,umar.lestari_76@email.com,1964-11-30,Perempuan,Retail,CAB0058,2015-09-25,Aktif,Wiraswasta,30000000
NSB0000077,Mira Siregar,1509011210077148,081271707170,mira.siregar_77@email.com,2007-10-12,Laki-laki,Retail,CAB0043,2018-11-27,Tidak Aktif,Mahasiswa,100000000
NSB0000078,Hadi Hutapea,2705031304967539,087721828592,hadi.hutapea_78@email.com,1996-04-13,Perempuan,Retail,CAB0016,2017-04-14,Aktif,Mahasiswa,100000000
NSB0000079,Bambang Permana,3402060412952755,081378515906,bambang.permana_79@email.com,1995-12-04,Laki-laki,Priority,CAB0027,2014-12-21,Aktif,Pensiunan,7500000
NSB0000080,Rahmat Saputra,0703031303811235,085794281857,rahmat.saputra_80@email.com,1981-03-13,Perempuan,Retail,CAB0062,2023-07-06,Tidak Aktif,TNI/Polri,50000000
NSB0000081,Surya Susanto,2114022308107683,082294743076,surya.susanto_81@email.com,2010-08-23,Perempuan,Retail,CAB0038,2019-11-12,Tidak Aktif,PNS,20000000
NSB0000082,Galih Situmorang,0505060707054704,081396525668,galih.situmorang_82@email.com,2005-07-07,Laki-laki,Retail,CAB0067,2011-04-12,Aktif,Petani,100000000
NSB0000083,Nanda Saputra,0308082309098215,085718304547,nanda.saputra_83@email.com,2009-09-23,Perempuan,Priority,CAB0016,2023-07-28,Aktif,Karyawan Swasta,75000000
NSB0000084,Agus Situmorang,0304092506759992,085758841557,agus.situmorang_84@email.com,1975-06-25,Perempuan,SME,CAB0039,2021-10-03,Aktif,Mahasiswa,20000000
NSB0000085,Surya Gunawan,0413022108139142,082148137561,surya.gunawan_85@email.com,2013-08-21,Perempuan,Retail,CAB0022,2017-05-24,Aktif,Karyawan Swasta,100000000
NSB0000086,Tri Hutapea,2305020809725073,085260557040,tri.hutapea_86@email.com,1972-09-08,Perempuan,Retail,CAB0019,2023-05-07,Aktif,Karyawan Swasta,30000000
NSB0000087,Zahra Permana,2401061408057968,085840406092,zahra.permana_87@email.com,2005-08-14,Laki-laki,Retail,CAB0022,2014-10-21,Aktif,Ibu Rumah Tangga,5000000
NSB0000088,Utami Gunawan,3401071807052528,085734272734,utami.gunawan_88@email.com,2005-07-18,Laki-laki,Private Banking,CAB0059,2012-12-09,Aktif,Mahasiswa,20000000
NSB0000089,Tari Situmorang,2910042304815071,082236040410,tari.situmorang_89@email.com,1981-04-23,Perempuan,Retail,CAB0059,2021-12-23,Aktif,Ibu Rumah Tangga,30000000
NSB0000090,Kartika Saputra,3407051202050855,082259823245,kartika.saputra_90@email.com,2005-02-12,Laki-laki,Private Banking,CAB0018,2013-02-07,Aktif,Karyawan Swasta,7500000
NSB0000091,Joni Handoko,2915042106847392,087713579612,joni.handoko_91@email.com,1984-06-21,Perempuan,SME,CAB0008,2012-01-22,Aktif,Nelayan,20000000
NSB0000092,Zahra Utami,2502022402815494,085728468304,zahra.utami_92@email.com,1981-02-24,Laki-laki,Retail,CAB0039,2017-02-23,Aktif,Wiraswasta,50000000
NSB0000093,Fajar Wijaya,0115033003008992,085380836292,fajar.wijaya_93@email.com,2000-03-30,Perempuan,Priority,CAB0017,2014-11-02,Aktif,Profesional,15000000
NSB0000094,Citra Hutabarat,0404020612708190,085381947921,citra.hutabarat_94@email.com,1970-12-06,Laki-laki,SME,CAB0033,2011-05-30,Aktif,Ibu Rumah Tangga,30000000
NSB0000095,Nanda Sirait,2304022102608577,087719083764,nanda.sirait_95@email.com,1960-02-21,Laki-laki,Retail,CAB0052,2024-11-25,Aktif,PNS,30000000
NSB0000096,Budi Siregar,1712042806931699,085354629892,budi.siregar_96@email.com,1993-06-28,Laki-laki,Retail,CAB0007,2017-09-25,Aktif,Nelayan,20000000
NSB0000097,Hendra Kurniawan,3012081609750606,087837057085,hendra.kurniawan_97@email.com,1975-09-16,Laki-laki,Retail,CAB0028,2011-06-01,Aktif,Pensiunan,15000000
NSB0000098,Linda Lubis,2614042803064688,087716416148,linda.lubis_98@email.com,2006-03-28,Perempuan,Priority,CAB0037,2010-10-27,Aktif,Pensiunan,30000000
NSB0000099,Andi Gunawan,2915082011956019,085245798645,andi.gunawan_99@email.com,1995-11-20,Laki-laki,Retail,CAB0057,2021-02-16,Aktif,Mahasiswa,100000000
NSB0000100,Gita Santoso,1906051003765022,082290882505,gita.santoso_100@email.com,1976-03-10,Perempuan,Priority,CAB0024,2024-10-28,Aktif,Pensiunan,50000000
NSB0000101,Dian Hartono,2310071910635953,085231473054,dian.hartono_101@email.com,1963-10-19,Laki-laki,Retail,CAB0021,2011-09-07,Tidak Aktif,Petani,3000000
NSB0000102,Erna Harahap,0504012904719914,085770387584,erna.harahap_102@email.com,1971-04-29,Perempuan,Priority,CAB0050,2018-08-03,Aktif,Karyawan Swasta,100000000
NSB0000103,Bambang Susanto,3406020805720425,085776980546,bambang.susanto_103@email.com,1972-05-08,Perempuan,Priority,CAB0018,2015-08-07,Aktif,Ibu Rumah Tangga,50000000
NSB0000104,Irwan Saputra,1912020204797407,085769741812,irwan.saputra_104@email.com,1979-04-02,Laki-laki,Retail,CAB0043,2013-01-16,Aktif,Karyawan Swasta,75000000
NSB0000105,Umar Setiawan,1915092108083674,081336975128,umar.setiawan_105@email.com,2008-08-21,Laki-laki,Retail,CAB0033,2018-02-09,Aktif,PNS,20000000
NSB0000106,Mira Wibowo,2408021409095068,082174245343,mira.wibowo_106@email.com,2009-09-14,Perempuan,Private Banking,CAB0055,2011-12-08,Tidak Aktif,Karyawan Swasta,7500000
NSB0000107,Galih Siagian,0508091006889631,085727318510,galih.siagian_107@email.com,1988-06-10,Perempuan,Priority,CAB0067,2012-11-17,Aktif,Karyawan Swasta,75000000
NSB0000108,Kartika Susanto,2003092309734654,081343635675,kartika.susanto_108@email.com,1973-09-23,Laki-laki,Retail,CAB0038,2017-10-05,Aktif,Ibu Rumah Tangga,100000000
NSB0000109,Tri Setiawan,0609031111072805,085391220369,tri.setiawan_109@email.com,2007-11-11,Perempuan,Private Banking,CAB0007,2023-01-09,Aktif,Karyawan Swasta,3000000
NSB0000110,Nuri Pasaribu,1711012909118160,085248879071,nuri.pasaribu_110@email.com,2011-09-29,Perempuan,SME,CAB0064,2023-11-12,Aktif,Mahasiswa,15000000
NSB0000111,Dewi Setiawan,0512080809007610,085855659873,dewi.setiawan_111@email.com,2000-09-08,Laki-laki,SME,CAB0043,2019-04-28,Aktif,Pensiunan,30000000
NSB0000112,Mira Rahayu,2409082409712008,087870343755,mira.rahayu_112@email.com,1971-09-24,Laki-laki,Priority,CAB0021,2015-06-04,Aktif,PNS,15000000
NSB0000113,Kartika Susanto,2704041806942611,082279085198,kartika.susanto_113@email.com,1994-06-18,Perempuan,Private Banking,CAB0066,2017-01-05,Aktif,Petani,3000000
NSB0000114,Galih Purnama,2609062901680798,081247763008,galih.purnama_114@email.com,1968-01-29,Perempuan,Retail,CAB0063,2023-01-31,Aktif,Nelayan,3000000
NSB0000115,Rahmat Harahap,2803012308696564,081286541906,rahmat.harahap_115@email.com,1969-08-23,Laki-laki,SME,CAB0049,2018-03-17,Aktif,Ibu Rumah Tangga,5000000
NSB0000116,Desi Aritonang,3308022908942109,081362868861,desi.aritonang_116@email.com,1994-08-29,Perempuan,Priority,CAB0046,2023-12-24,Aktif,Pensiunan,7500000
NSB0000117,Joni Sari,3307030911775457,082279703656,joni.sari_117@email.com,1977-11-09,Perempuan,Retail,CAB0022,2010-11-15,Tidak Aktif,Nelayan,7500000
NSB0000118,Bambang Hutabarat,2103060306898312,085281449442,bambang.hutabarat_118@email.com,1989-06-03,Perempuan,Priority,CAB0041,2023-04-26,Aktif,PNS,20000000
NSB0000119,Oki Permana,0807081909894351,085387528776,oki.permana_119@email.com,1989-09-19,Laki-laki,Retail,CAB0008,2023-05-22,Tidak Aktif,Petani,7500000
NSB0000120,Wawan Purnama,2503021201073126,081269195194,wawan.purnama_120@email.com,2007-01-12,Perempuan,Retail,CAB0056,2022-11-04,Aktif,Mahasiswa,10000000
NSB0000121,Rina Lubis,3313092510963398,085253627409,rina.lubis_121@email.com,1996-10-25,Perempuan,Retail,CAB0051,2013-02-05,Aktif,Wiraswasta,50000000
NSB0000122,Yanti Kusuma,2209043010074039,087884905122,yanti.kusuma_122@email.com,2007-10-30,Perempuan,Private Banking,CAB0031,2020-11-10,Aktif,Ibu Rumah Tangga,10000000
NSB0000123,Yanti Aritonang,2108021411039396,085260961690,yanti.aritonang_123@email.com,2003-11-14,Perempuan,Priority,CAB0047,2016-06-15,Aktif,Ibu Rumah Tangga,3000000
NSB0000124,Fitri Kusuma,0606042110858825,087885432781,fitri.kusuma_124@email.com,1985-10-21,Perempuan,SME,CAB0020,2014-10-19,Aktif,TNI/Polri,100000000
NSB0000125,Utami Siagian,1601041906810861,081365472370,utami.siagian_125@email.com,1981-06-19,Perempuan,Retail,CAB0063,2024-04-23,Aktif,Wiraswasta,3000000
NSB0000126,Tri Lubis,1107041605094707,087748307798,tri.lubis_126@email.com,2009-05-16,Laki-laki,SME,CAB0013,2024-08-04,Tidak Aktif,Profesional,75000000
NSB0000127,Lestari Sari,1207030705634743,081211243818,lestari.sari_127@email.com,1963-05-07,Perempuan,SME,CAB0016,2021-02-10,Aktif,Ibu Rumah Tangga,50000000
NSB0000128,Indra Sinaga,3408042709081846,087731809610,indra.sinaga_128@email.com,2008-09-27,Perempuan,SME,CAB0035,2016-02-14,Aktif,PNS,20000000
NSB0000129,Rina Hutapea,1303062006861422,082199826000,rina.hutapea_129@email.com,1986-06-20,Laki-laki,SME,CAB0026,2021-07-23,Aktif,Petani,20000000
NSB0000130,Andi Purnama,0105060304824948,085386890296,andi.purnama_130@email.com,1982-04-03,Laki-laki,SME,CAB0036,2015-12-28,Aktif,Profesional,3000000
NSB0000131,Kartika Hutapea,3005020908704834,087792493631,kartika.hutapea_131@email.com,1970-08-09,Laki-laki,Corporate,CAB0031,2016-12-22,Aktif,Petani,7500000
NSB0000132,Yusuf Aritonang,2407042510004055,085320988446,yusuf.aritonang_132@email.com,2000-10-25,Perempuan,SME,CAB0049,2022-01-21,Aktif,TNI/Polri,5000000
NSB0000133,Nanda Tampubolon,3304061607658526,082225601471,nanda.tampubolon_133@email.com,1965-07-16,Laki-laki,Retail,CAB0065,2013-09-09,Aktif,Nelayan,50000000
NSB0000134,Joni Sirait,3003012812649156,082251361818,joni.sirait_134@email.com,1964-12-28,Laki-laki,SME,CAB0053,2022-08-25,Aktif,PNS,10000000
NSB0000135,Dian Siregar,0501011911111131,082214259382,dian.siregar_135@email.com,2011-11-19,Perempuan,Retail,CAB0055,2022-02-20,Aktif,Wiraswasta,30000000
NSB0000136,Andi Nasution,2508090508932179,087725922674,andi.nasution_136@email.com,1993-08-05,Laki-laki,Retail,CAB0053,2024-11-04,Aktif,Wiraswasta,10000000
NSB0000137,Galih Tampubolon,0205072304603763,085871824078,galih.tampubolon_137@email.com,1960-04-23,Perempuan,SME,CAB0022,2021-12-06,Aktif,Profesional,5000000
NSB0000138,Erna Wijaya,2710022111621654,085314506531,erna.wijaya_138@email.com,1962-11-21,Perempuan,Retail,CAB0008,2014-08-16,Aktif,PNS,30000000
NSB0000139,Nuri Hidayat,1509051905993837,085352802529,nuri.hidayat_139@email.com,1999-05-19,Perempuan,Retail,CAB0033,2021-04-20,Aktif,Wiraswasta,75000000
NSB0000140,Siti Hidayat,2705033110797000,085276521096,siti.hidayat_140@email.com,1979-10-31,Laki-laki,Corporate,CAB0047,2023-04-09,Aktif,Nelayan,20000000
NSB0000141,Umar Nasution,2703080805973949,085850364158,umar.nasution_141@email.com,1997-05-08,Laki-laki,Retail,CAB0062,2022-01-24,Aktif,Nelayan,30000000
NSB0000142,Andi Purnama,3403061405971296,082259805178,andi.purnama_142@email.com,1997-05-14,Laki-laki,Priority,CAB0027,2014-07-24,Aktif,Ibu Rumah Tangga,30000000
NSB0000143,Eko Saputra,0314091004143556,082238036618,eko.saputra_143@email.com,2014-04-10,Perempuan,Private Banking,CAB0041,2025-01-22,Aktif,Profesional,10000000
NSB0000144,Putri Simanjuntak,3115041107709046,087747991562,putri.simanjuntak_144@email.com,1970-07-11,Perempuan,Retail,CAB0062,2018-11-24,Aktif,Pensiunan,15000000
NSB0000145,Irwan Manurung,2409061906833329,087751999682,irwan.manurung_145@email.com,1983-06-19,Perempuan,Retail,CAB0007,2020-07-13,Tidak Aktif,Profesional,7500000
NSB0000146,Oki Purba,1709031506613215,087740872577,oki.purba_146@email.com,1961-06-15,Perempuan,SME,CAB0034,2016-08-15,Aktif,Nelayan,20000000
NSB0000147,Tri Simbolon,3212060102832774,085783356206,tri.simbolon_147@email.com,1983-02-01,Perempuan,SME,CAB0026,2013-10-10,Aktif,PNS,75000000
NSB0000148,Utami Hidayat,0514031301633792,081330270856,utami.hidayat_148@email.com,1963-01-13,Laki-laki,Retail,CAB0030,2019-04-02,Aktif,Petani,20000000
NSB0000149,Irwan Wijaya,3111090306656740,081212244945,irwan.wijaya_149@email.com,1965-06-03,Perempuan,Retail,CAB0039,2021-12-08,Aktif,Nelayan,30000000
NSB0000150,Gita Siagian,0715043101768626,087857572279,gita.siagian_150@email.com,1976-01-31,Perempuan,Retail,CAB0053,2015-05-29,Aktif,Pensiunan,30000000
NSB0000151,Omar Permana,1612010603011532,082160903955,omar.permana_151@email.com,2001-03-06,Perempuan,Retail,CAB0063,2024-08-30,Aktif,PNS,7500000
NSB0000152,Dian Gunawan,3214090206670698,085838375916,dian.gunawan_152@email.com,1967-06-02,Perempuan,Private Banking,CAB0037,2012-02-21,Aktif,Karyawan Swasta,15000000
NSB0000153,Vina Wijaya,0303031909086526,081350168264,vina.wijaya_153@email.com,2008-09-19,Laki-laki,Retail,CAB0033,2023-03-02,Tidak Aktif,Mahasiswa,75000000
NSB0000154,Candra Wibowo,2513060510890880,081368664992,candra.wibowo_154@email.com,1989-10-05,Laki-laki,Retail,CAB0011,2021-03-26,Aktif,TNI/Polri,100000000
